,week,state,state_name,disease,cases,incidence_per_capita,LastDayWeek,MonthMax,Year,MonthName,t_avg,tavg_anomaly
0,196601,AL,alabama,HEPATITIS A,5,0.14,1966-01-01,1,1966,January,40.4798,0.235
1,196601,AL,alabama,RUBELLA,7,0.2,1966-01-01,1,1966,January,40.4798,0.235
2,196601,AR,arkansas,HEPATITIS A,11,0.58,1966-01-01,1,1966,January,35.231,0.225
3,196601,AR,arkansas,MEASLES,2,0.11,1966-01-01,1,1966,January,35.231,0.225
4,196601,AZ,arizona,HEPATITIS A,6,0.37,1966-01-01,1,1966,January,37.9076,0.285
5,196601,AZ,arizona,MEASLES,98,6.07,1966-01-01,1,1966,January,37.9076,0.285
6,196601,AZ,arizona,RUBELLA,29,1.8,1966-01-01,1,1966,January,37.9076,0.285
7,196601,CA,california,HEPATITIS A,89,0.47,1966-01-01,1,1966,January,41.1926,0.347
8,196601,CA,california,MEASLES,102,0.54,1966-01-01,1,1966,January,41.1926,0.347
9,196601,CA,california,RUBELLA,7,0.04,1966-01-01,1,1966,January,41.1926,0.347
10,196601,CO,colorado,HEPATITIS A,1,0.05,1966-01-01,1,1966,January,19.9112,0.286
11,196601,CO,colorado,MEASLES,5,0.25,1966-01-01,1,1966,January,19.9112,0.286
12,196601,CT,connecticut,HEPATITIS A,9,0.31,1966-01-01,1,1966,January,27.1076,0.397
13,196601,CT,connecticut,MEASLES,9,0.31,1966-01-01,1,1966,January,27.1076,0.397
14,196601,CT,connecticut,RUBELLA,11,0.38,1966-01-01,1,1966,January,27.1076,0.397
15,196601,DE,delaware,HEPATITIS A,3,0.58,1966-01-01,1,1966,January,30.5906,0.278
16,196601,DE,delaware,MEASLES,7,1.36,1966-01-01,1,1966,January,30.5906,0.278
17,196601,FL,florida,HEPATITIS A,7,0.11,1966-01-01,1,1966,January,56.552,0.246
18,196601,FL,florida,MEASLES,72,1.18,1966-01-01,1,1966,January,56.552,0.246
19,196601,GA,georgia,HEPATITIS A,4,0.09,1966-01-01,1,1966,January,42.6524,0.155
20,196601,GA,georgia,MEASLES,10,0.23,1966-01-01,1,1966,January,42.6524,0.155
21,196601,HI,hawaii,HEPATITIS A,3,0.42,1966-01-01,1,1966,January,68.6732,0.359
22,196601,HI,hawaii,MEASLES,2,0.28,1966-01-01,1,1966,January,68.6732,0.359
23,196601,HI,hawaii,RUBELLA,1,0.14,1966-01-01,1,1966,January,68.6732,0.359
24,196601,IA,iowa,HEPATITIS A,12,0.43,1966-01-01,1,1966,January,12.4124,0.264
25,196601,IA,iowa,MEASLES,24,0.87,1966-01-01,1,1966,January,12.4124,0.264
26,196601,IA,iowa,RUBELLA,6,0.22,1966-01-01,1,1966,January,12.4124,0.264
27,196601,ID,idaho,HEPATITIS A,2,0.29,1966-01-01,1,1966,January,22.6004,0.394
28,196601,ID,idaho,MEASLES,8,1.16,1966-01-01,1,1966,January,22.6004,0.394
29,196601,ID,idaho,RUBELLA,1,0.15,1966-01-01,1,1966,January,22.6004,0.394
30,196601,IL,illinois,HEPATITIS A,6,0.06,1966-01-01,1,1966,January,21.4754,0.296
31,196601,IL,illinois,MEASLES,125,1.15,1966-01-01,1,1966,January,21.4754,0.296
32,196601,IL,illinois,RUBELLA,17,0.16,1966-01-01,1,1966,January,21.4754,0.296
33,196601,IN,indiana,HEPATITIS A,2,0.04,1966-01-01,1,1966,January,23.099,0.301
34,196601,IN,indiana,MEASLES,49,0.98,1966-01-01,1,1966,January,23.099,0.301
35,196601,IN,indiana,RUBELLA,21,0.42,1966-01-01,1,1966,January,23.099,0.301
36,196601,KS,kansas,HEPATITIS A,6,0.27,1966-01-01,1,1966,January,25.1492,0.214
37,196601,KY,kentucky,HEPATITIS A,26,0.83,1966-01-01,1,1966,January,28.2434,0.244
